State wise scores of individual parameters,Quality of Road Infrastructure,Quality of Rail Infrastructure,Quality of Multi-Modal Terminal Infrastructure,Quality of Unimodal Terminal Infrastructure,Quality ofWarehousing Infrastructure,Quality of Logistics Services,Capability of Logistics Service Providers,Reasonableness of Road Freight Rates,Reasonableness of Prices of Terminal Services,Timeliness of Cargo Delivery (Transportation) ,Timeliness of Cargo Delivery (Terminal Services),Availability of Mobile/ Internet Connectivity,Safety and Security during Transportation,Safety and Security at Terminals,Extent of Facilitation,Ease of Obtaining all Approvals ,Efficiency of Regulatory ,Range scaled Ease of Doing Business ranks,Trade Infrastructure for Export Scheme outlay,States logistics enabling initiatives ,Assessment of variables of logistics ease,Final Score
MadhyaPradesh,3.07,3.13,2.8,2.6,2.71,3.01,2.92,2.23,2.35,2.87,3.07,3.25,2.79,3.41,2.61,2.57,2.83,5,4,4,3.67,2.9
Goa,3.07,2.98,2.97,2.78,2.85,3,3.06,2.5,2.71,3.09,3.15,2.95,3.25,3.15,3.12,3.26,3.06,2,1,3,2.33,2.84
Bihar,2.77,2.91,2.54,2.57,2.46,2.63,2.77,2.23,2.26,2.75,2.81,2.97,2.55,2.86,2.39,2.38,2.46,2,1,3,3.22,2.77
HimachalPradesh,3.45,2.34,2.79,2.92,2.89,2.93,3,1.83,1.98,3.01,2.9,3.32,3.33,3.38,2.68,2.56,2.62,5,3,3,2.78,2.75
Assam,2.64,2.69,2.46,2.44,2.45,2.65,2.85,1.97,2.15,2.48,2.69,2.66,2.74,2.86,2.37,2.26,2.35,3,3,4,3.67,2.63
Jammu Kasmhir,2.46,2.23,2.38,2.56,2.5,2.72,2.64,1.68,1.56,2.8,2.88,2.67,3.08,3.04,2.58,2.58,2.75,3,1,4,3.56,2.64
Sikkim,2.3,1.82,2.12,2.33,2.3,2.18,2.33,1.58,1.88,2.55,2.21,2.36,2.52,2.76,2.24,2.21,2.45,1,3,1,2.33,2.63
Meghalaya,2.06,1.89,1.76,1.94,2.29,2.19,2.34,1.6,1.71,2.07,2.13,2.11,2.43,2.71,1.84,1.84,2.04,1,1,2,2.67,2.51
Tripura,2.37,1.98,1.8,2.2,2.24,2.08,2.26,1.44,1.72,2.15,2.13,2.51,2.56,2.9,1.92,2.03,2.32,1,3,3,3.33,2.5
ArunachalPradesh,2.21,2.25,2.21,2.29,2.33,2.17,2.17,1.83,1.83,2.21,2.33,2,2.46,2.5,2.18,2.14,2.18,1,1,2,2.56,2.43
Manipur,1.96,1.5,1.79,2.04,2.08,1.87,2.22,1.35,1.43,1.87,2.04,2.09,2.17,2.39,2.14,1.82,1.68,1,3,3,2.44,2.39
Mizoram,1.93,1.87,1.53,2.13,2,2.07,2.13,1.27,1.53,2.07,1.87,2.07,2.07,2,1.93,2.13,2.13,2,1,3,2.67,2.12
Nagaland,2.21,1.83,2.13,2,1.92,1.87,1.78,1.35,1.52,2.04,2.22,2.09,2.13,2.48,2.05,1.95,2.05,1,1,1,2.56,2.02
Delhi,3.66,3.6,3.59,3.33,3.42,3.54,3.7,2.39,2.29,3.45,3.53,3.56,3.44,3.59,3.18,3.13,3.3,2,2,4,3.78,3.35
Chandigarh,3.86,3.5,3.25,3.41,3.57,3.38,3.46,2.78,2.74,3.48,3.3,3.7,3.72,3.7,3.18,3.3,3.23,1,1,2,2.22,3.06
